id,Weekly_Sales
1,1511604.6
2,1335027.4
3,1291752.6
4,1411877.4
5,1721615.4
6,1635457.1
7,1694352.2
8,1731204.6
9,427013.75
10,415201.66
11,443068.72
12,438362.4
13,2053039.0
14,2016124.1
15,2067534.4
16,2082422.4
17,314344.16
18,297398.53
19,283770.28
20,281211.47
21,1525118.2
22,1217726.1
23,1237638.0
24,1332574.8
25,566632.3
26,461444.8
27,480650.66
28,583079.3
29,1131630.9
30,1100677.0
31,1103463.8
32,1095207.1
33,842170.4
34,743197.25
35,764254.44
36,765159.7
37,1765016.5
38,1630558.9
39,1605393.5
40,1664077.5
41,1292049.1
42,1274752.5
43,1237622.0
44,1374541.8
45,1267646.4
46,1176468.4
47,1155029.1
48,1231630.6
49,1971991.6
50,1731931.4
51,1786524.6
52,1882685.2
53,1762535.1
54,1767535.5
55,1707936.0
56,1629447.9
57,545881.6
58,471522.9
59,435910.38
60,552879.1
61,535756.8
62,434175.03
63,499886.75
64,503986.22
65,930526.9
66,755704.7
67,809173.6
68,866565.6
69,1051384.1
70,969578.8
71,906584.4
72,988220.7
73,1360750.0
74,1236735.8
75,1249098.2
76,1295136.8
77,1916171.1
78,1918566.6
79,1851834.6
80,1838879.6
81,646098.1
82,575159.94
83,505516.84
84,713576.9
85,905678.25
86,902012.6
87,912729.1
88,1038453.2
89,1363203.6
90,1175927.8
91,1231584.8
92,1379616.1
93,1257002.6
94,1286796.4
95,1259323.2
96,1288593.1
97,620205.94
98,580446.5
99,601413.06
100,589531.75
101,971062.75
102,976339.0
103,850599.94
104,878011.75
105,1671464.5
106,1543342.6
107,1560153.9
108,1597584.4
109,1238884.0
110,1294283.6
111,1193950.0
112,1218932.5
113,467509.22
114,446479.5
115,500688.72
116,450623.3
117,297584.0
118,276969.34
119,342404.97
120,333373.9
121,1282416.8
122,1287159.9
123,1248172.8
124,1332773.2
125,1120020.0
126,1151548.0
127,1032068.6
128,1109149.4
129,235037.94
130,232685.58
131,227121.25
132,232716.23
133,865542.3
134,897507.9
135,794625.0
136,744352.44
137,825328.1
138,762877.1
139,732812.0
140,800217.4
141,246173.92
142,248228.72
143,245142.58
144,253850.3
145,429392.97
146,429346.0
147,430757.84
148,431792.72
149,495600.38
150,527589.44
151,537726.44
152,503865.5
153,1487430.1
154,1412823.8
155,1279800.1
156,1451853.9
157,935253.56
158,850393.6
159,642275.44
160,943616.8
161,1304717.2
162,1193647.2
163,1208826.5
164,1006982.6
165,507620.9
166,534358.5
167,531993.25
168,560832.44
169,586285.0
170,602801.5
171,599890.2
172,559828.44
173,300293.3
174,304186.1
175,300638.22
176,297632.5
177,700053.1
178,584032.5
179,610268.7
180,687972.0
